fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
0.0661157024793388,0.293333333333333,0.0903614457831325,0.0230061349693252,0.0747508305647841,0.0243055555555556,0.135944700460829,0.121264700212067,0.914728682170543,0.191011235955056,0.739130434782609,bad,red
0.0743801652892562,0.346666666666667,0.102409638554217,0.0260736196319018,0.0813953488372093,0.0555555555555556,0.230414746543779,0.11740890688259,0.875968992248062,0.213483146067416,0.710144927536232,good,red
0.0909090909090909,0.226666666666667,0,0.0230061349693252,0.0647840531561462,0.0520833333333333,0.0829493087557604,0.0854058222479263,0.767441860465116,0.292134831460674,0.869565217391304,good,red
0.0991735537190083,0.2,0.00602409638554217,0.0153374233128834,0.0647840531561462,0.0868055555555556,0.124423963133641,0.0719105455947564,0.75968992248062,0.297752808988764,0.869565217391304,good,red
0.0991735537190083,0.213333333333333,0.301204819277108,0.0567484662576687,0.0614617940199336,0.0972222222222222,0.170506912442396,0.0595720069404266,0.596899224806202,0.247191011235955,0.811594202898551,good,red
0.0991735537190083,0.226666666666667,0.144578313253012,0.0214723926380368,0.0847176079734219,0.0625,0.101382488479263,0.0884904569115093,0.775193798449613,0.292134831460674,0.869565217391304,good,red
0.0991735537190083,0.44,0,0.00920245398773006,0.053156146179402,0.0520833333333333,0.0921658986175115,0.10545594756121,1,0.207865168539326,0.652173913043478,good,red
0.0991735537190083,0.626666666666667,0.0240963855421687,0.0122699386503067,0.0598006644518272,0.138888888888889,0.182027649769585,0.128976286871023,0.798449612403101,0.146067415730337,0.36231884057971,bad,red
0.0991735537190083,0.64,0.144578313253012,0.0153374233128834,0.0681063122923588,0.107638888888889,0.207373271889401,0.121264700212067,0.790697674418605,0.224719101123596,0.507246376811594,bad,red
0.107438016528926,0.226666666666667,0,0.0184049079754601,0.0581395348837209,0.0590277777777778,0.188940092165899,0.0859841912473474,0.744186046511628,0.286516853932584,0.811594202898551,good,red
0.107438016528926,0.26,0.0120481927710843,0.0107361963190184,0.0415282392026578,0.0590277777777778,0.0875576036866359,0.0962020435704635,0.914728682170543,0.224719101123596,0.695652173913044,good,red
0.107438016528926,0.286666666666667,0.108433734939759,0.0230061349693252,0.0548172757475083,0.0520833333333333,0.21889400921659,0.101985733564679,0.573643410852713,0.365168539325843,0.710144927536232,good,red
